Papel,Cotacao,PL,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PAtivCircLiq,EVEBIT,EVEBITDA,MargEBIT,MargLiq,LiqCorr,ROIC,ROE,Liq2meses,PatrimLiquido,DivBrutaPatrim,CrescRec5a
TNLP3,"27,75","35,39","0,96","0,468","0,00%","0,170","1,76","4,63","-0,45","10,31","10,31","10,12%","-0,07%","1,48","4,58%","2,72%","0,00","13.736.000.000,00","2,02","15,39%"
PRGA4,"75,00","35,47","8,48","1,842","0,00%","1,858","15,04","16,90","-7,16","18,10","12,03","10,90%","5,52%","1,33","20,92%","23,90%","0,00","14.084.100.000,00","1,58","8,12%"
ESPA3,"1,13","36,13","0,47","0,380","3,47%","0,181","1,12","2,63","-1,28","6,55","4,16","14,47%","0,92%","1,52","7,81%","1,31%","1.337.730,00","864.732.000,00","0,98","9,84%"
VIGR3,"25,00","36,57","2,55","0,763","0,00%","0,899","11,45","12,39","-5,02","15,20","22,95","6,16%","2,28%","1,26","9,06%","6,98%","0,00","1.593.560.000,00","0,84","54,72%"
ELCA4,"20,20","36,64","12,47","2,667","0,00%","1,583","22,09","13,63","-2,87","17,58","14,02","19,57%","9,83%","1,38","13,70%","34,03%","0,00","4.160.960.000,00","4,38","6,83%"
PARD3,"20,25","36,76","5,30","2,565","5,22%","2,095","-54,06","17,52","-8,62","18,12","11,99","14,64%","7,00%","0,90","15,26%","14,42%","0,00","1.019.310.000,00","0,53","15,97%"
AZUL4,"0,81","37,69","-21,57","27,341","0,00%","21,396","-30,27","150,37","-12,38","159,43","90,32","18,18%","72,55%","0,27","17,57%","-57,23%","0,00","-27.406.700.000,00","-1,36","24,72%"
CRIV4,"6,74","37,77","0,66","0,000","3,60%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","1,74%","0,00","1.058.750.000,00","0,00","-0,10%"
ALSC3,"27,75","38,57","2,20","10,717","0,95%","1,202","9,41","19,33","-4,22","17,49","14,08","55,45%","29,30%","5,39","7,03%","5,69%","0,00","2.593.960.000,00","0,00","2,34%"
CRIV3,"6,98","39,11","0,68","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","1,74%","0,00","1.058.750.000,00","0,00","-0,10%"
